"John Adams","North Caucus"
"John Adams","Long Room Club"
"Samuel Adams","North Caucus"
"Samuel Adams","Long Room Club"
"Samuel Adams","Boston Committee"
"Samuel Adams","London Enemies"
"Dr Allen","North Caucus"
"Nathaniel Appleton","North Caucus"
"Nathaniel Appleton","Boston Committee"
"Gilbert Ash","St Andrews Lodge"
"Benjamin Austin","London Enemies"
"Samuel Austin","London Enemies"
"John Avery","Loyal Nine"
"John Avery","London Enemies"
"Cyrus Baldwin","London Enemies"
"John Ballard","North Caucus"
"Nathaniel Barber","North Caucus"
"Nathaniel Barber","Tea Party"
"Nathaniel Barber","Boston Committee"
"Nathaniel Barber","London Enemies"
"Samuel Barnard","Tea Party"
"Samuel Barrett","St Andrews Lodge"
"Samuel Barrett","London Enemies"
"Henry Bass","Loyal Nine"
"Henry Bass","North Caucus"
"Henry Bass","Tea Party"
"Henry Bass","London Enemies"
"William Bell","St Andrews Lodge"
"Increase Blake","St Andrews Lodge"
"John Boit","North Caucus"
"Thomas Bolter","Tea Party"
"Peter Boyer","London Enemies"
"Richard Boynton","Boston Committee"
"Richard Boynton","London Enemies"
"Jos Brackett","London Enemies"
"John Bradford","Boston Committee"
"John Bradford","London Enemies"
"David Bradlee","Tea Party"
"Josiah Bradlee","Tea Party"
"Nathaniel Bradlee","Tea Party"
"Thomas Bradlee","Tea Party"
"George Bray","St Andrews Lodge"
"William Breck","North Caucus"
"James Bewer","Tea Party"
"Herman Brimmer","London Enemies"
"Martin Brimmer","London Enemies"
"Henry Broomfield","London Enemies"
"Hugh Brown","St Andrews Lodge"
"Enoch Brown","London Enemies"
"John Brown","London Enemies"
"Stephen Bruce","Tea Party"
"Edward Burbeck","St Andrews Lodge"
"William Burbeck","St Andrews Lodge"
"Benjamin Burt","North Caucus"
"Benjamin Burton","Tea Party"
"Edward Cailleteau","St Andrews Lodge"
"Elisha Callendar","St Andrews Lodge"
"Nicholas Campbell","Tea Party"
"Capt Cazneau","North Caucus"
